X	Y	Duration
110	225	335
0	291	285
94	343	84
71	359	73
134	325	238
87	363	454
69	186	276
299	290	16
450	58	26
469	28	402
110	489	225
241	142	191
188	297	394
261	481	182
132	92	266
34	96	355
218	170	435
86	466	164
13	195	325
477	136	487
215	75	37
480	198	293
381	187	206
3	65	154
340	217	131
352	45	379
322	307	497
276	5	93
109	286	390
386	394	97
114	117	496
185	224	401
445	284	212
428	30	364
201	248	249
159	321	404
304	110	178
455	418	36
454	485	295
295	423	455
166	252	96
426	139	216
221	373	374
452	118	19
16	478	473
266	310	381
358	300	279
89	86	91
168	45	248
93	127	258
160	429	497
201	455	427
274	349	481
24	362	339
276	114	201
137	288	467
120	405	239
121	201	115
77	494	198
478	44	352
467	160	279
409	255	378
364	30	497
87	362	481
180	278	267
94	264	481
0	414	57
158	429	25
349	394	152
312	158	290
271	226	265
219	376	450
143	54	270
250	54	215
380	134	271
381	262	356
288	486	8
373	355	400
322	155	71
61	145	239
252	425	128
173	455	184
46	319	330
73	127	84
99	44	139
336	419	99
215	292	97
347	474	163
128	30	440
4	292	235
266	142	201
139	413	89
473	95	484
453	221	203
196	196	422
12	413	307
335	338	188
418	103	438
485	159	392
28	66	232
