X	Y	Duration
175	285	118
342	88	88
147	478	414
265	132	383
416	462	467
298	111	53
167	186	91
149	43	49
226	320	244
211	90	96
179	22	447
279	361	49
371	173	22
212	330	278
214	191	386
62	313	155
12	10	89
145	455	169
158	400	105
326	372	255
478	406	453
467	191	314
228	308	50
120	287	195
381	265	27
379	137	250
370	124	215
371	225	498
52	113	405
340	402	242
231	493	447
106	14	68
49	267	195
411	43	463
87	401	458
81	494	356
332	33	309
447	469	171
258	9	468
351	341	62
76	391	365
476	267	323
270	442	416
339	449	199
18	312	374
404	68	417
374	108	161
60	91	276
262	20	489
162	53	274
273	308	165
199	469	309
207	177	180
90	205	378
127	492	206
10	472	246
461	338	347
326	494	486
466	383	163
81	168	418
460	331	369
397	122	477
288	147	15
220	340	178
128	263	331
375	205	140
114	301	115
32	375	355
383	291	312
335	275	295
357	291	330
321	255	23
209	41	174
195	359	225
408	498	120
158	177	357
407	485	428
394	173	140
426	443	365
252	227	68
317	206	418
475	108	69
221	62	294
30	154	183
433	363	403
315	391	251
177	346	244
498	4	438
112	421	176
326	461	224
302	385	481
193	21	21
71	189	486
12	352	94
210	364	333
92	112	293
362	134	337
185	336	180
420	238	310
367	311	405
